product_code,product_eval_no,idx,src,alt,media_type
01P0000000025,202408291466204,1,https://image.sivillage.com/upload/C00001/eval/204/202408291466204_00001.jpeg?RS=450&SP=1&AO=1,IMG_9826.jpeg,img
01P0000000025,202407161428938,1,https://image.sivillage.com/upload/C00001/eval/938/202407161428938_00001.jpg?RS=450&SP=1&AO=1,1000024610.jpg,img
01P0000000088,202202130559015,1,https://image.sivillage.com/upload/C00001/eval/015/202202130559015_00001.jpg?RS=450&SP=1&AO=1,20220201_113715.jpg,img
01P0000000307,202205170616046,1,https://image.sivillage.com/upload/C00001/eval/046/202205170616046_00001.jpg?RS=450&SP=1&AO=1,20220517_135341.jpg,img
01P0000000307,202205170616046,2,https://image.sivillage.com/upload/C00001/eval/046/202205170616046_00002.jpg?RS=450&SP=1&AO=1,20220517_135347.jpg,img
01P0000000310,202407191431462,1,https://image.sivillage.com/upload/C00001/eval/462/202407191431462_00001.png?RS=450&SP=1&AO=1,IMG_6302.png,img
01P0000000375,202303060865232,1,https://image.sivillage.com/upload/C00001/eval/232/202303060865232_00001.jpg?RS=450&SP=1&AO=1,image.jpg,img
01P0000000375,202209060677422,1,https://image.sivillage.com/upload/C00001/eval/422/202209060677422_00001.jpg?RS=450&SP=1&AO=1,20220906_204039.jpg,img
01P0000000375,202204160596023,1,https://image.sivillage.com/upload/C00001/eval/023/202204160596023_00001.jpg?RS=450&SP=1&AO=1,20220416_191833.jpg,img
01P0000000509,201901280010242,1,https://image.sivillage.com/upload/C00001/eval/242/201901280010242_00001.jpg?RS=450&SP=1&AO=1,IMG_2120.JPG,img
01P0000000509,100945,1,https://image.sivillage.com/upload/C00001/upload2/review/201801/692EB552-E661-42E5-8908-AA5F4839A302_1516255626915.jpeg?RS=450&SP=1&AO=1,692EB552-E661-42E5-8908-AA5F4839A302.jpeg,img
01P0000000509,202407281438645,1,https://image.sivillage.com/upload/C00001/eval/645/202407281438645_00001.jpg?RS=450&SP=1&AO=1,image.jpg,img
01P0000000535,202401031204737,1,https://image.sivillage.com/upload/C00001/eval/737/202401031204737_00001.jpg?RS=450&SP=1&AO=1,image.jpg,img
01P0000000535,202311021132249,1,https://image.sivillage.com/upload/C00001/eval/249/202311021132249_00001.jpg?RS=450&SP=1&AO=1,KakaoTalk_20231102_105220044_01.jpg,img
01P0000000535,202310071109939,1,https://image.sivillage.com/upload/C00001/eval/939/202310071109939_00001.jpeg?RS=450&SP=1&AO=1,IMG_8950.jpeg,img
01P0000000689,202404041298406,1,https://image.sivillage.com/upload/C00001/eval/406/202404041298406_00001.jpeg?RS=450&SP=1&AO=1,IMG_9361.jpeg,img
01P0000000689,202402151244988,1,https://image.sivillage.com/upload/C00001/eval/988/202402151244988_00001.jpg?RS=450&SP=1&AO=1,20240214_201657.jpg,img
01P0000000790,202406091387856,1,https://image.sivillage.com/upload/C00001/eval/856/202406091387856_00001.jpg?RS=450&SP=1&AO=1,20240609_132024.jpg,img
01P0000001026,202405311377058,1,https://image.sivillage.com/upload/C00001/eval/058/202405311377058_00001.jpg?RS=450&SP=1&AO=1,1717149690970.jpg,img
01P0000001026,202405311377058,2,https://image.sivillage.com/upload/C00001/eval/058/202405311377058_00002.jpg?RS=450&SP=1&AO=1,1717149706881.jpg,img
01P0000001176,202408201455511,1,https://image.sivillage.com/upload/C00001/eval/511/202408201455511_00001.jpg?RS=450&SP=1&AO=1,1000006835.jpg,img
01P0000001176,202311071135926,1,https://image.sivillage.com/upload/C00001/eval/926/202311071135926_00001.jpeg?RS=450&SP=1&AO=1,IMG_7672.jpeg,img
01P0000001176,202310161118504,1,https://image.sivillage.com/upload/C00001/eval/504/202310161118504_00001.jpg?RS=450&SP=1&AO=1,20231016_231329.jpg,img
01P0000001195,202401251226560,1,https://image.sivillage.com/upload/C00001/eval/560/202401251226560_00001.jpg?RS=450&SP=1&AO=1,20240125_210256.jpg,img
01P0000001195,202401221221850,1,https://image.sivillage.com/upload/C00001/eval/850/202401221221850_00001.jpg?RS=450&SP=1&AO=1,Screenshot_20240122_124357_SIVillage.jpg,img
01P0000001195,202312081180731,1,https://image.sivillage.com/upload/C00001/eval/731/202312081180731_00001.jpg?RS=450&SP=1&AO=1,ehak.jpg,img
01P0000001205,202207020640985,1,https://image.sivillage.com/upload/C00001/eval/985/202207020640985_00001.jpg?RS=450&SP=1&AO=1,20220702_123739.jpg,img
01P0000001205,202205140614251,1,https://image.sivillage.com/upload/C00001/eval/251/202205140614251_00001.jpg?RS=450&SP=1&AO=1,20220514_075728.jpg,img
01P0000001205,202205120613094,1,https://image.sivillage.com/upload/C00001/eval/094/202205120613094_00001.jpg?RS=450&SP=1&AO=1,Screenshot_20220512-102248_Gallery.jpg,img
01P0000001205,202205120613094,2,https://image.sivillage.com/upload/C00001/eval/094/202205120613094_00002.jpg?RS=450&SP=1&AO=1,Screenshot_20220512-102256_Gallery.jpg,img
01P0000001397,202407271437848,1,https://image.sivillage.com/upload/C00001/eval/848/202407271437848_00001.jpg?RS=450&SP=1&AO=1,20240727_024619.jpg,img
01P0000001397,202403141272909,1,https://image.sivillage.com/upload/C00001/eval/909/202403141272909_00001.jpg?RS=450&SP=1&AO=1,input_image_303905429.jpg,img
01P0000001447,202406151396070,1,https://image.sivillage.com/upload/C00001/eval/070/202406151396070_00001.jpg?RS=450&SP=1&AO=1,20240614_185249.jpg,img
01P0000001447,202401311233032,1,https://image.sivillage.com/upload/C00001/eval/032/202401311233032_00001.jpeg?RS=450&SP=1&AO=1,IMG_3417.jpeg,img
01P0000001447,202401311233032,2,https://image.sivillage.com/upload/C00001/eval/032/202401311233032_00002.jpeg?RS=450&SP=1&AO=1,IMG_3421.jpeg,img
01P0000001447,202205080610901,1,https://image.sivillage.com/upload/C00001/eval/901/202205080610901_00001.jpg?RS=450&SP=1&AO=1,image.jpg,img
