product_code,color_value
01P0000211741,기타
01P0000211747,기타
01P0000211748,기타
01P0000211749,기타
01P0000211750,기타
01P0000211751,기타
01P0000211752,기타
01P0000211753,기타
01P0000211755,다크브라운
01P0000211890,기타
01P0000211892,기타
01P0000212097,기타
01P0000212099,기타
01P0000213686,투명
01P0000216498,투명
01P0000216499,투명
01P0000216503,투명
01P0000216504,투명
01P0000217701,기타
01P0000217702,기타
01P0000219123,기타
01P0000221402,블랙
01P0000221403,블랙
01P0000221405,블랙
01P0000221406,블랙
01P0000221407,블랙
01P0000237371,화이트
01P0000237384,베이지
01P0000237406,기타
01P0000237407,기타
01P0000237408,기타
01P0000237409,기타
01P0000237410,기타
01P0000237411,다크그레이
01P0000237412,오프화이트
01P0000237456,기타
01P0000239417,투명
01P0000239429,그린
01P0000240243,기타
01P0000240244,기타
01P0000240929,기타
01P0000240930,기타
01P0000240931,기타
01P0000242380,기타
01P0000244677,기타
01P0000244679,실버
01P0000244684,기타
01P0000244686,기타
01P0000245157,기타
01P0000245161,기타
01P0000247043,기타
01P0000248318,기타
01P0000248319,기타
01P0000248320,기타
01P0000249090,기타
01P0000249091,기타
01P0000249092,기타
01P0000249093,기타
01P0000249094,기타
01P0000249095,기타
01P0000249096,기타
01P0000249097,기타
01P0000249098,기타
01P0000249099,기타
01P0000249544,화이트
01P0000249545,화이트
01P0000249546,화이트
01P0000249547,기타
01P0000249548,기타
01P0000249549,기타
01P0000249551,화이트
01P0000249554,기타
01P0000249556,화이트
01P0000250200,기타
01P0000250514,기타
01P0000250516,기타
01P0000251263,기타
01P0000253778,투명
01P0000253971,블랙
01P0000254088,베이지
01P0000255484,기타
01P0000255485,기타
01P0000255502,기타
01P0000256876,기타
01P0000256878,기타
01P0000257037,기타
01P0000257038,화이트
01P0000257040,기타
01P0000257041,기타
01P0000257043,화이트
01P0000257061,기타
01P0000257062,화이트
01P0000257063,기타
01P0000257346,화이트
01P0000257348,블랙
01P0000257456,기타
01P0000258850,기타
01P0000258851,기타
01P0000258852,기타
01P0000258853,기타
01P0000258854,기타
01P0000258855,기타
01P0000258883,기타
01P0000259504,기타
01P0000259725,기타
01P0000259726,기타
01P0000259743,기타
01P0000259744,기타
01P0000259745,기타
01P0000259746,기타
01P0000259747,기타
01P0000263475,민트
01P0000263477,베이지
01P0000263481,실버
01P0000263482,실버
01P0000263483,기타
01P0000263484,기타
01P0000263485,기타
01P0000263486,기타
01P0000268933,기타
01P0000268934,기타
01P0000269445,화이트
01P0000269447,화이트
01P0000269448,화이트
01P0000269449,라이트 옐로우
01P0000269735,기타
01P0000269811,NONE
01P0000269826,NONE
01P0000269835,유포릭 퓨전
01P0000269835,브릴리언트 누드
01P0000269835,인캔디센트 일렉트라
01P0000269839,이트리얼 글로우
01P0000269839,무드 익스포저
01P0000269839,딤인퓨전
01P0000269839,디퓨즈드 히트
01P0000269839,루미너스 플러쉬
01P0000269839,서브라임 플러쉬
01P0000269967,NONE
01P0000269969,브론즈
01P0000269969,오션
01P0000269969,캐니언
01P0000269969,옵시디언
01P0000269969,미티어라이트
01P0000269974,옵시디언
01P0000269975,다크 브루넷
01P0000269975,웜 브루넷
01P0000269975,오번
01P0000269975,소프트 브루넷
01P0000269975,웜 블론드
01P0000269975,블론드
01P0000269981,NONE
01P0000269983,내츄럴 블랙
01P0000269983,블론드
01P0000269983,애쉬
01P0000269983,웜브루넷
01P0000269983,오번
01P0000269983,웜블론드
01P0000269983,플래티넘 블론드
01P0000269983,소프트브루넷
01P0000269983,다크 브루넷
01P0000269991,블랙
01P0000269995,NONE
01P0000269996,블레이즈
01P0000269996,포일
01P0000269996,리플렉트
01P0000269996,아우라
01P0000269996,스모크
01P0000269996,버니쉬
01P0000269996,랩쳐
01P0000269996,레이
01P0000269996,비비드
01P0000270005,누드
01P0000270005,디퓨즈드
01P0000270005,레디언트
01P0000270005,루미너스
01P0000270013,인캔디센트
01P0000270013,이리덴슨트
01P0000270013,브릴리언트
01P0000270013,유포릭
01P0000270014,이더리얼
01P0000270014,무드
01P0000270014,래디언트
01P0000270014,딤라이트
01P0000270014,디퓨즈드
01P0000270014,루미너스
01P0000270020,멀티
01P0000270020,볼륨
01P0000270114,NONE
01P0000270115,NONE
01P0000270116,NONE
01P0000270117,투명
01P0000270118,투명
01P0000270183,기타
01P0000270426,크림
01P0000270435,그레이
01P0000270438,기타
01P0000271982,기타
01P0000271984,기타
01P0000271986,기타
01P0000271991,기타
01P0000272010,그레이
01P0000277340,기타
01P0000277455,기타
01P0000277971,투명
01P0000279410,기타
01P0000280182,기타
01P0000284417,410 칸탈루프
01P0000284417,425 핑크 구아바
01P0000284417,400 베이직
01P0000284417,405 스웨이드
01P0000284417,415 피오니
01P0000284417,445 모닝 라떼
01P0000284417,500 글램던
01P0000284417,515 크림 카라멜
01P0000284417,525 더스티 로즈
01P0000284417,530 아프리콧
01P0000284417,540 카라멜
01P0000284417,555 트러플
01P0000284610,기타
01P0000285690,기타
01P0000285692,기타
01P0000285693,기타
01P0000286961,기타
01P0000286962,기타
01P0000287145,기타
1811152057,투명
1812155297,화이트
1812155300,투명
1812155304,투명
1812155306,투명
1812155852,그레이
1812159089,블랙
1812159410,블랙
1812160540,투명
1901161912,100ml
1901161916,100ml
1901166173,그레이
1901166484,기타
1901166701,아이콘
1901166701,어돈
1901166701,베어
1901166701,카메오
1901166705,녹터널
1901167236,라이트그레이
1901167237,캐멀
1901167501,라이트 베이지
1901168095,베이지
1902169268,기타
1902170394,다크 그레이
1902170707,화이트
1902171310,투명
1902171311,투명
1902171314,옐로
1902171338,투명
1902171339,투명
1902171344,투명
1902171369,투명
1902172315,블랙
1903174569,투명
1903177559,블랙
1903178481,다크그린
1903178733,그레이
1903178733,아이보리
1903178735,투명
1903178737,투명
1904180915,다크그린
1904180927,실버
1904180928,실버
1904180929,핑크
1904180938,핑크
1904180940,실버
1904181685,다크그린
1904181686,오프 화이트
1904181687,화이트
1904181695,핑크
1904181696,핑크
1904181710,핑크
1904181711,핑크
1904181712,핑크
1904181713,핑크
1904181714,다크그린
1904181716,핑크
1904181740,실버
1904181741,골드
1904181802,그레이
1904181802,다크 네이비
1904181802,다크브라운
1904183899,그레이
1904183900,체리브라운
1904183902,체리브라운
1904183903,체리브라운
1904183905,체리브라운
