product_code,promotion_code,promotion_name
01P0000116176,2407139231,소중한 인연을 위한 향기로운 선물
01P0000116181,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116187,2311109734,HOLIDAY GIFT
01P0000116188,2307095929,시뷰티 x 테라사이클
01P0000116188,2311109734,HOLIDAY GIFT
01P0000116189,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116217,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116218,2407139255,S.I.BEAUTY 한가위 선물대전
01P0000116218,2307095929,시뷰티 x 테라사이클
01P0000116218,2311110864,#리얼한시마을
01P0000116225,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116235,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116236,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116250,2407139231,소중한 인연을 위한 향기로운 선물
01P0000116250,2307095929,시뷰티 x 테라사이클
01P0000116254,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116283,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116283,2407139255,S.I.BEAUTY 한가위 선물대전
01P0000116284,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116284,2407139255,S.I.BEAUTY 한가위 선물대전
01P0000116285,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116306,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116307,2311109734,HOLIDAY GIFT
01P0000116314,2408143759,라페르바 럭셔리 뷰티 기프트
01P0000116314,2407139255,S.I.BEAUTY 한가위 선물대전
01P0000116363,2407139231,소중한 인연을 위한 향기로운 선물
01P0000116385,2407139231,소중한 인연을 위한 향기로운 선물
01P0000116449,2307095929,시뷰티 x 테라사이클
01P0000116455,2407139231,소중한 인연을 위한 향기로운 선물
01P0000116807,2307095929,시뷰티 x 테라사이클
01P0000116848,2407139231,소중한 인연을 위한 향기로운 선물
01P0000116913,2407139231,소중한 인연을 위한 향기로운 선물
01P0000116913,2307095929,시뷰티 x 테라사이클
01P0000116913,2405132395,#리얼한시마을
01P0000116913,2403124449,#빌리저스초이스
01P0000124722,2305091459,YOUTH
01P0000125589,2307095929,시뷰티 x 테라사이클
01P0000126281,2407139255,S.I.BEAUTY 한가위 선물대전
01P0000126281,2307095929,시뷰티 x 테라사이클
01P0000136148,2408143541,BYREDO 가을맞이 베스트 퍼퓸 추천
01P0000136148,2401116020,바이레도 NEW 리퀴드 립스틱 매트
01P0000136148,2308100781,SIV 레시피 다이어리
01P0000166445,2404128490,JAJU SNACK in Wonderland
01P0000169903,2402119987,#리얼한시마을
01P0000169903,2404128490,JAJU SNACK in Wonderland
01P0000169903,2403121200,#리얼한시마을
01P0000171407,2408144162,풍성한 추석 음식 이야기
01P0000171554,2408144162,풍성한 추석 음식 이야기
01P0000171560,2408144162,풍성한 추석 음식 이야기
01P0000171562,2408144162,풍성한 추석 음식 이야기
01P0000171564,2408144162,풍성한 추석 음식 이야기
01P0000171572,2408144162,풍성한 추석 음식 이야기
01P0000171576,2408144162,풍성한 추석 음식 이야기
01P0000171583,2408144162,풍성한 추석 음식 이야기
01P0000171583,2309103641,SIV 레시피 다이어리 Ep.2
01P0000171583,2308100781,SIV 레시피 다이어리
01P0000171588,2408144162,풍성한 추석 음식 이야기
01P0000171603,2408144162,풍성한 추석 음식 이야기
